date,cash,realized_pnl,open_pnl,total_pnl,portfolio_value,concurrent_positions,peak_value,drawdown,drawdown_pct
2018-10-05,1000000,1709260.237,98818.52719216592,1808078.7641921658,2808078.764192166,187,2819286.373304303,-11207.609112136997,-0.39753354672520497
2018-10-12,1000000,1757915.9300000002,34535.98829150819,1792451.9182915085,2792451.918291508,67,2819286.373304303,-26834.455012794584,-0.9518172849302875
2018-10-19,1000000,1751596.112,32119.147317472416,1783715.2593174723,2783715.2593174726,63,2819286.373304303,-35571.11398683023,-1.2617063070871948
2018-10-26,1000000,1728272.7389999998,53984.026378448674,1782256.7653784484,2782256.765378448,59,2819286.373304303,-37029.60792585462,-1.3134390417549042
2018-11-02,1000000,1730143.4559999998,51106.25755333551,1781249.7135533353,2781249.7135533355,58,2819286.373304303,-38036.65975096729,-1.3491591386790192
2018-11-09,1000000,1723022.4780000001,49224.846081651456,1772247.3240816516,2772247.324081652,136,2819286.373304303,-47039.04922265094,-1.6684736133250457
2018-11-16,1000000,1716331.091,30716.457742849343,1747047.5487428494,2747047.5487428494,131,2819286.373304303,-72238.82456145342,-2.562308861046527
2018-11-23,1000000,1772980.369,-45152.66643859805,1727827.702561402,2727827.7025614018,116,2819286.373304303,-91458.67074290104,-3.2440362074927585
2018-11-30,1000000,1771899.049,-61186.23999656936,1710712.8090034307,2710712.8090034304,150,2819286.373304303,-108573.56430087239,-3.851100949834349
2018-12-07,1000000,1746582.3560000001,-71050.22336408935,1675532.1326359108,2675532.132635911,165,2819286.373304303,-143754.2406683918,-5.09895844670461
2018-12-14,1000000,1724249.438,-81335.18668292285,1642914.2513170773,2642914.2513170773,144,2819286.373304303,-176372.1219872255,-6.255913682883913
2018-12-21,1000000,1655139.923,-30181.390329733942,1624958.532670266,2624958.532670266,91,2819286.373304303,-194327.8406340368,-6.892802464982574
2018-12-28,1000000,1643663.6119999997,-22547.834771214173,1621115.7772287854,2621115.7772287857,60,2819286.373304303,-198170.59607551713,-7.0291048810076795
2019-01-04,1000000,1643340.832,-23137.23730923408,1620203.594690766,2620203.594690766,70,2819286.373304303,-199082.77861353662,-7.061459967268405
2019-01-11,1000000,1643369.116,-21286.845792224387,1622082.2702077755,2622082.2702077758,117,2819286.373304303,-197204.10309652705,-6.9948234050944205
2019-01-18,1000000,1637506.7940000002,-1936.840724900123,1635569.9532751,2635569.9532751003,274,2819286.373304303,-183716.42002920248,-6.516415706073888
2019-01-25,1000000,1633789.537,27966.080569226964,1661755.617569227,2661755.617569227,290,2819286.373304303,-157530.75573507603,-5.587611007761671
2019-02-01,1000000,1634595.262,48961.017087717366,1683556.2790877174,2683556.2790877176,336,2819286.373304303,-135730.09421658516,-4.814342221556752
2019-02-08,1000000,1634738.4620000003,71198.64863727661,1705937.110637277,2705937.110637277,357,2819286.373304303,-113349.2626670259,-4.020494822389276
2019-02-15,1000000,1617737.57,114951.36988085233,1732688.9398808524,2732688.9398808526,359,2819286.373304303,-86597.43342345022,-3.07160827092407
