date,value,cash,positions,invested,peak,dd,year
2022-05-01,2953203.5000000005,1416232.6300000006,81,1536970.8699999999,4887845.640000001,-39.5806717824256,2022
2022-06-01,3098046.5600000005,1468617.1900000006,81,1629429.37,4887845.640000001,-36.61734047722505,2022
2022-07-01,2854742.74,1407788.8800000004,87,1446953.8599999996,4887845.640000001,-41.59507172980201,2022
2022-08-01,3198838.250000001,1423560.8800000001,87,1775277.3700000006,4887845.640000001,-34.55525223992138,2022
2022-09-01,3172450.4399999995,1498022.9100000001,81,1674427.5299999993,4887845.640000001,-35.09511810197019,2022
2022-10-01,3034877.9400000004,1644601.4000000001,65,1390276.5400000003,4887845.640000001,-37.9097016656197,2022
2022-11-01,3229551.9800000004,1665586.6800000002,71,1563965.3000000003,4887845.640000001,-33.92688276465293,2022
2022-12-01,3289376.630000001,1643020.3300000003,76,1646356.3000000003,4887845.640000001,-32.70293556160664,2022
2023-01-01,3101490.8200000003,1658430.53,73,1443060.2900000005,4887845.640000001,-36.546874667670565,2023
2023-02-01,3043401.5,1597464.9900000002,79,1445936.5099999995,4887845.640000001,-37.73531890831152,2023
2023-03-01,3054413.9000000004,1642020.7000000004,76,1412393.2000000002,4887845.640000001,-37.510017194405506,2023
2023-04-01,3050959.910000001,1663406.5600000005,74,1387553.3500000006,4887845.640000001,-37.58068206916615,2023
2023-05-01,2974210.6900000013,2038921.7400000012,73,935288.9500000001,4887845.640000001,-39.15088754725894,2023
2023-06-01,3008514.740000001,1992287.090000001,77,1016227.6500000001,4887845.640000001,-38.44906403386338,2023
2023-07-01,3046643.370000001,1978532.0300000012,78,1068111.3399999999,4887845.640000001,-37.66899377779858,2023
2023-08-01,3109805.3500000015,1941676.2200000014,81,1168129.1300000001,4887845.640000001,-36.376768436574416,2023
2023-09-01,3081450.2900000014,1922465.9700000014,82,1158984.32,4887845.640000001,-36.956882091718406,2023
2023-10-01,2995986.2900000014,1916809.2400000014,82,1079177.05,4887845.640000001,-38.70538248012265,2023
2023-11-01,2912001.0100000016,1899117.6300000015,83,1012883.3800000002,4887845.640000001,-40.42362986732942,2023
2023-12-01,3030297.450000002,1929800.220000002,85,1100497.2299999997,4887845.640000001,-38.0034135038683,2023
2024-01-01,3171023.460000002,1893411.0200000023,88,1277612.4399999997,4887845.640000001,-35.12431255910116,2024
2024-02-01,3264853.6600000025,1920090.5900000029,87,1344763.0699999996,4887845.640000001,-33.204648827658104,2024
2024-03-01,3481771.1900000023,1895971.8000000028,89,1585799.3899999997,4887845.640000001,-28.766752339584894,2024
2024-04-01,3530438.480000003,1942801.570000003,86,1587636.9099999997,4887845.640000001,-27.771072574214877,2024
2024-05-01,3394909.340000003,1947126.5300000033,85,1447782.8099999998,4887845.640000001,-30.543851217036334,2024
2024-06-01,3519737.690000003,1982726.5900000036,84,1537011.0999999994,4887845.640000001,-27.98999908679598,2024
2024-07-01,3543313.5400000038,2021334.5900000038,81,1521978.9499999997,4887845.640000001,-27.507662864738023,2024
2024-08-01,3514726.5800000047,2015464.0800000038,82,1499262.5000000007,4887845.640000001,-28.092520941393634,2024
2024-09-01,3580734.4500000034,2008730.4500000037,83,1572003.9999999998,4887845.640000001,-26.74207178932101,2024
2024-10-01,3645344.8900000034,2005430.9300000037,85,1639913.96,4887845.640000001,-25.42021253355286,2024
2024-11-01,3666683.5600000042,1995425.3800000038,86,1671258.1800000004,4887845.640000001,-24.983646578495392,2024
2024-12-01,3872684.750000003,2084474.2300000032,77,1788210.5199999996,4887845.640000001,-20.76908652131653,2024
2025-01-01,3712358.2600000035,2127227.4100000034,79,1585130.8500000003,4887845.640000001,-24.049191946249696,2025
2025-02-01,3752924.7100000037,2091378.7900000033,81,1661545.9200000002,4887845.640000001,-23.21924654723746,2025
2025-03-01,3612020.5900000017,2073123.8300000024,82,1538896.7599999995,4887845.640000001,-26.101991428681835,2025
2025-04-01,3551849.0600000024,2064536.1000000027,82,1487312.96,4887845.640000001,-27.333035418851694,2025
2025-05-01,3645295.170000002,2079881.5900000024,81,1565413.5799999996,4887845.640000001,-25.421229750618696,2025
2025-06-01,3734397.7100000028,2043740.5400000028,87,1690657.1700000002,4887845.640000001,-23.598288795388346,2025
2025-07-01,3841825.5400000038,2018890.0700000026,88,1822935.470000001,4887845.640000001,-21.40043235898908,2025
2025-08-01,3954661.6700000027,2015568.2200000028,88,1939093.45,4887845.640000001,-19.091927993045168,2025
2025-09-01,3998932.380000002,2103493.570000003,81,1895438.8099999991,4887845.640000001,-18.186197467561563,2025
2025-10-01,4080668.8500000024,2106242.0500000026,83,1974426.7999999996,4887845.640000001,-16.51395828449276,2025
2025-11-01,4109557.1500000022,2159704.1500000022,80,1949853.0,4887845.640000001,-15.922935119530457,2025
