symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct
CLFD,2021-06-01,2022-06-01,38.35,61.72,260,6076.199999999999,60.93872229465449
COST,2021-09-01,2022-06-01,439.89,428.07,22,-260.03999999999985,-2.6870353952124337
PANW,2021-09-01,2022-06-01,79.16,83.96,126,604.7999999999996,6.063668519454257
QCOM,2021-12-01,2022-06-01,183.49,137.55,54,-2480.7599999999998,-25.03678674587171
ON,2021-12-01,2022-06-01,62.68,59.7,159,-473.8199999999995,-4.754307594128903
AOSL,2021-12-01,2022-06-01,47.48,43.87,210,-758.0999999999999,-7.603201347935973
EXTR,2022-01-01,2022-06-01,16.33,9.73,612,-4039.199999999999,-40.41641151255357
CENX,2022-01-01,2022-06-01,17.42,11.72,574,-3271.8000000000006,-32.72101033295064
AVGO,2022-01-01,2022-06-01,67.81,55.24,147,-1847.79,-18.53708892493733
AAPL,2022-01-01,2022-06-01,178.51,145.52,56,-1847.439999999999,-18.480757380538893
SFM,2022-02-01,2022-06-01,27.15,26.3,368,-312.7999999999992,-3.130755064456714
COHR,2022-03-01,2022-06-01,70.3,59.55,142,-1526.5,-15.291607396870555
RMBS,2022-03-01,2022-06-01,26.74,24.85,373,-704.9699999999989,-7.068062827225119
NSIT,2022-04-01,2022-06-01,106.94,97.23,93,-903.0299999999994,-9.079857864222918
GPRO,2022-05-01,2022-06-01,8.78,6.69,1138,-2378.4199999999987,-23.804100227790425
MEOH,2022-02-01,2022-07-01,46.17,37.66,216,-1838.1600000000012,-18.431882174572245
SSRM,2022-03-01,2022-07-01,20.36,17.27,491,-1517.1899999999998,-15.176817288801569
SMCI,2022-03-01,2022-07-01,3.98,3.98,2512,0.0,0.0
RAIL,2022-04-01,2022-07-01,6.62,3.56,1510,-4620.6,-46.223564954682786
OPCH,2022-04-01,2022-07-01,28.91,28.65,345,-89.70000000000054,-0.8993427879626426
ENSG,2022-04-01,2022-07-01,90.32,74.94,110,-1691.7999999999995,-17.02834366696191
REGN,2022-04-01,2022-07-01,696.61,610.33,14,-1207.9199999999996,-12.38569644420837
TRUE,2022-06-01,2022-07-01,3.35,2.63,2985,-2149.2000000000007,-21.492537313432834
MMYT,2022-06-01,2022-07-01,28.32,25.87,353,-864.8499999999998,-8.651129943502822
SLM,2022-06-01,2022-07-01,19.55,15.92,511,-1854.9300000000003,-18.567774936061387
BPOP,2022-06-01,2022-07-01,81.01,78.32,123,-330.8700000000015,-3.320577706456007
CRUS,2022-06-01,2022-07-01,81.11,71.66,123,-1162.3500000000004,-11.650844532116878
CECO,2022-06-01,2022-07-01,6.44,5.97,1552,-729.440000000001,-7.298136645962739
DGII,2022-06-01,2022-07-01,22.7,24.02,440,580.8000000000002,5.814977973568292
CYTK,2022-06-01,2022-07-01,39.62,46.19,252,1655.64,16.58253407370016
AXGN,2022-06-01,2022-07-01,9.56,8.83,1046,-763.5800000000005,-7.635983263598334
BKR,2022-02-01,2022-08-01,27.58,24.38,362,-1158.3999999999996,-11.602610587382156
DLTR,2021-12-01,2022-09-01,143.69,135.04,69,-596.8500000000004,-6.019903959913709
TSEM,2022-01-01,2022-09-01,39.73,45.97,251,1566.2400000000005,15.70601560533602
GOGO,2022-02-01,2022-09-01,12.46,15.03,802,2061.139999999999,20.62600321027286
ISSC,2022-03-01,2022-09-01,7.68,6.77,1302,-1184.8200000000002,-11.848958333333337
RGLD,2022-03-01,2022-09-01,125.25,92.35,79,-2599.1000000000004,-26.267465069860286
CRESY,2022-03-01,2022-09-01,6.28,6.32,1592,63.68000000000006,0.6369426751592355
LWAY,2022-06-01,2022-09-01,5.44,5.81,1838,680.0599999999986,6.801470588235281
CRMD,2022-08-01,2022-09-01,5.76,3.47,1736,-3975.439999999999,-39.75694444444444
TTEK,2022-08-01,2022-09-01,30.78,27.0,324,-1224.7200000000003,-12.28070175438597
TILE,2022-08-01,2022-09-01,14.74,11.23,678,-2379.7799999999997,-23.812754409769333
DVAX,2022-08-01,2022-09-01,14.59,10.61,685,-2726.3,-27.27895819054147
III,2022-08-01,2022-09-01,7.53,5.84,1328,-2244.3200000000006,-22.443559096945553
LSCC,2022-08-01,2022-09-01,62.17,53.64,160,-1364.8000000000002,-13.720443944024453
EYPT,2022-08-01,2022-09-01,9.95,9.94,1005,-10.049999999999786,-0.10050251256281673
PODD,2022-08-01,2022-09-01,249.04,261.34,40,491.9999999999993,4.938965628011549
AXGN,2022-08-01,2022-09-01,9.67,8.93,1034,-765.1600000000002,-7.65253360910031
ASTH,2022-08-01,2022-09-01,54.74,42.29,182,-2265.9000000000005,-22.743880160759954
UFPI,2022-08-01,2022-09-01,93.36,79.41,107,-1492.6500000000003,-14.942159383033427
VNOM,2021-10-01,2022-10-01,22.13,26.9,451,2151.27,21.554450971531857
