date,value,cash,positions,invested,peak,dd,year
2019-02-01,1452691.72,551013.32,65,901678.4,1613620.9300000002,-9.973173191302134,2019
2019-03-01,1547446.5399999998,518618.0599999997,69,1028828.4800000001,1613620.9300000002,-4.100987336598339,2019
2019-04-01,1530791.5700000003,538689.1399999997,66,992102.4300000005,1613620.9300000002,-5.133136194508822,2019
2019-05-01,1529391.69,659018.0499999997,64,870373.6400000002,1613620.9300000002,-5.219890151028235,2019
2019-06-01,1511930.1999999997,655132.1799999997,65,856798.02,1613620.9300000002,-6.3020210081187065,2019
2019-07-01,1539974.6599999997,576469.4299999995,73,963505.2300000002,1613620.9300000002,-4.564037849955286,2019
2019-08-01,1583610.4199999995,620968.2599999993,68,962642.1600000001,1613620.9300000002,-1.8598240418213157,2019
2019-09-01,1579106.8099999996,582844.9499999995,71,996261.86,1613620.9300000002,-2.138923669018136,2019
2019-10-01,1513678.2599999993,659915.9999999997,69,853762.2599999998,1613620.9300000002,-6.193689493107954,2019
2019-11-01,1539789.9499999993,674372.8299999995,68,865417.1199999999,1613620.9300000002,-4.575484776340928,2019
2019-12-01,1592025.7399999993,686235.4799999993,67,905790.26,1613620.9300000002,-1.3383062650284832,2019
2020-01-01,1665567.759999999,699648.0599999992,70,965919.6999999998,1665567.759999999,0.0,2020
2020-02-01,1682176.6099999999,701576.8399999994,73,980599.7700000004,1682176.6099999999,0.0,2020
2020-03-01,1670965.6399999992,781120.4399999995,69,889845.1999999998,1682176.6099999999,-0.6664561814351153,2020
2020-04-01,1454392.8199999996,784641.1899999996,61,669751.63,1682176.6099999999,-13.5410151731928,2020
2020-05-01,1587684.8999999994,701629.1099999995,69,886055.7899999998,1682176.6099999999,-5.617228859221888,2020
2020-06-01,1723657.1199999996,732226.2399999996,69,991430.88,1723657.1199999996,0.0,2020
2020-07-01,1830415.1099999994,721376.6999999996,71,1109038.41,1830415.1099999994,0.0,2020
2020-08-01,2007878.3399999994,794101.0399999995,66,1213777.2999999998,2007878.3399999994,0.0,2020
2020-09-01,2075076.73,867416.5299999994,70,1207660.2000000004,2075076.73,0.0,2020
2020-10-01,2064104.8999999994,965063.1899999991,67,1099041.7100000004,2075076.73,-0.5287433395294515,2020
2020-11-01,2022359.0599999998,989661.6799999996,64,1032697.3800000002,2075076.73,-2.5405166583888277,2020
2020-12-01,2285655.58,1000839.8099999999,66,1284815.77,2285655.58,0.0,2020
2021-01-01,2453644.4,1166449.7499999998,66,1287194.6500000001,2453644.4,0.0,2021
2021-02-01,2836245.3999999994,1147198.1799999997,69,1689047.2199999995,2836245.3999999994,0.0,2021
2021-03-01,2986146.2699999996,1326851.3199999996,67,1659294.9500000002,2986146.2699999996,0.0,2021
