date,value,cash,positions,peak,dd,month,year
2021-12-09,2341307.2200000025,2166758.3500000024,16,2371704.380000002,-1.281658888701789,2021-12,2021
2021-12-10,2342008.2300000023,2156810.1600000025,17,2371704.380000002,-1.2521016636989084,2021-12,2021
2021-12-13,2342046.5900000026,2156810.1600000025,17,2371704.380000002,-1.2504842614491247,2021-12,2021
2021-12-14,2341762.810000003,2166656.8800000027,16,2371704.380000002,-1.2624494963406585,2021-12,2021
2021-12-15,2343837.250000003,2166656.8800000027,16,2371704.380000002,-1.174983283540565,2021-12,2021
2021-12-16,2343393.6300000027,2166656.8800000027,16,2371704.380000002,-1.1936879755646235,2021-12,2021
2021-12-17,2343352.6200000024,2156661.3600000027,17,2371704.380000002,-1.1954171118071533,2021-12,2021
2021-12-20,2342079.0000000023,2166716.1600000025,16,2371704.380000002,-1.2491177336359205,2021-12,2021
2021-12-21,2341801.3200000026,2166716.1600000025,16,2371704.380000002,-1.2608257695252711,2021-12,2021
2021-12-22,2341916.7100000023,2166716.1600000025,16,2371704.380000002,-1.2559604920070138,2021-12,2021
2021-12-23,2342325.5400000024,2166716.1600000025,16,2371704.380000002,-1.2387226775707951,2021-12,2021
2021-12-27,2344363.1600000025,2166716.1600000025,16,2371704.380000002,-1.1528089348133561,2021-12,2021
2021-12-28,2346104.7100000023,2166716.1600000025,16,2371704.380000002,-1.0793786196912072,2021-12,2021
2021-12-29,2348288.4500000025,2166716.1600000025,16,2371704.380000002,-0.9873039067373008,2021-12,2021
2021-12-30,2349465.730000003,2187854.7100000028,14,2371704.380000002,-0.9376653425921245,2021-12,2021
2021-12-31,2350940.850000003,2187854.7100000028,14,2371704.380000002,-0.8754687209372742,2021-12,2021
2022-01-03,2351872.830000003,2177873.640000003,15,2371704.380000002,-0.8361729297813807,2022-01,2022
2022-01-04,2352465.520000003,2167877.640000003,16,2371704.380000002,-0.8111828844368616,2022-01,2022
2022-01-05,2351396.110000003,2167877.640000003,16,2371704.380000002,-0.8562732426205271,2022-01,2022
2022-01-06,2349737.310000003,2167877.640000003,16,2371704.380000002,-0.9262145057049371,2022-01,2022
2022-01-07,2346879.940000003,2176114.800000003,15,2371704.380000002,-1.0466919996158623,2022-01,2022
2022-01-10,2343612.030000003,2176114.800000003,15,2371704.380000002,-1.1844794080111762,2022-01,2022
2022-01-11,2341538.0400000033,2184963.7500000033,14,2371704.380000002,-1.27192664711438,2022-01,2022
2022-01-12,2339573.460000003,2217171.2900000033,11,2371704.380000002,-1.3547607480490027,2022-01,2022
2022-01-13,2338559.4800000032,2217171.2900000033,11,2371704.380000002,-1.3975139684145184,2022-01,2022
2022-01-14,2338507.8700000034,2217171.2900000033,11,2371704.380000002,-1.399690040628032,2022-01,2022
